"","OI_mean","std"
"CALLIO",0.071372775661052,0.0246870929919767
"CARANG",0.277878099747374,0.07165806598003
"GADIFO",0.724801033684646,0.106226134464199
"GOBIFO",0.225768761316469,0.0731474839536392
"MULLIF",0.1072767511959,0.0281285752027986
"COTTOI",0.187697180533293,0.0469219299642234
"PERCOI",0.242020454440877,0.073846078722012
"SCORPA",0.243017113896117,0.0500693747704
"AMMODY",1.23436148536905,0.0617636916569235
"PLEURO",0.17325835213396,0.0560954523901313
"JELLY",0.239999999999959,6.41343453239351e-15
"CUMACE",0.0176619485520784,0.0121242581424083
"CALLIA",2.90240933955449e-29,5.44153770844119e-29
"ISOPOD",3.63287456667545e-29,9.87003527482256e-29
"DETAMP",4.29429992303866e-29,1.36038194587134e-28
"DPAMP",0.0414922335735754,5.75087161924857e-11
"DETSHR",0.156753682556829,0.0517659458310497
"SUDECR",0.134912483698383,0.00745505009177719
"PAGURI",0.239032434086754,0.0157346063629044
"CARNCR",0.219936414584771,0.0818862436710516
"ASTRUB",0.706651134427013,0.0232291287073928
"OPHIUR",0.332597319135323,0.0630438142639165
"ECHCOR",4.17622716704971e-29,1.06248428528094e-28
"DETPOL",3.74785104361141e-29,8.00964815084327e-29
"NEPHTY",0.446707392830455,0.101809349232737
"CARPOLP",0.424784251244642,0.106582678704724
"CARPOLC",0.0513039174362101,0.0337915316594
"CARPOLPC",0.364750393329187,0.063454713349929
"SUSWOR",0.120284112721353,0.0519380308143145
"SUSBIV",0.152876348053988,0.0704876138425929
"HSUDEBI",4.11854461411444e-29,9.24486412639898e-29
"SUDEBI",0.0690879662763445,0.0263493778667596
"BROGAS",3.60680271375789e-29,1.31105507117077e-28
"SUSGAS",2.64425055065069e-29,4.01845062975028e-29
"SEPATL",0.148168454254144,0.0518945726941747
"ZOOPLANKT",3.55151465765838e-29,7.15420459127125e-29
"PHYTOPLANKT",0,0
"SOM",0,0
"SPOM",0,0
"SEDBAC",3.05603482087456e-29,5.88615675836043e-29
"WATBAC",2.56887376885532e-29,4.74126071586861e-29
