"","TL_mean","std"
"CALLIO",3.41515058121203,0.0477253277619376
"CARANG",3.59724406733168,0.0588165988305986
"CLUPEI",3,8.4206216557102e-15
"GADIFO",3.24545150512191,0.216199495521613
"GOBIFO",3.32786681829914,0.13609754004021
"COTTOI",3.59081046877694,0.0575169255374594
"PERCOI",3.52903461461478,0.067115375556823
"SCORPA",3.80834862355796,0.0862654556451417
"AMMODY",2.11757975784598,0.123030094470529
"PLEURO",3.24709801535868,0.0698784396321083
"JELLY",2.60000000000002,7.47224290860691e-15
"CUMACE",2,5.10421781403018e-15
"CALLIA",2,4.17115908448346e-15
"DETAMP",2,5.94844887274985e-15
"DPAMP",2.40481927710881,7.83992834549921e-14
"CARSHR",2.97546411149452,0.089155810479495
"PAGURI",2.40572854115792,0.0925733467345016
"CARNCR",3.1144164624759,0.0435986431883993
"HSUDEBI",2,6.05268931010905e-15
"SUDEBI",2.50313137653262,0.0182458199752379
"SUSBIV",2.19581850749065,0.00571778360498069
"DETBIV",2,5.79968958240919e-15
"SUSGAS",2,3.77768584137383e-15
"PARGAS",2.41240628319385,0.12850862152182
"SCAGAS",2.7026125740201,0.0313112307287667
"BORGAS",2.56650914754401,0.105994955407815
"SEPATL",3.32550081704816,0.0324768570116768
"DETPOL",2,6.24577258354868e-15
"NEPHTY",2.24930464726988,0.0627686812958732
"CARPOLP",2.31191648138763,0.0587030173305848
"CARPOLC",3.16293501919727,0.0491936634983666
"CARPOLPC",2.42009063995319,0.0807594572924112
"SUDEPOL",2.46520953257554,0.00622154195697832
"SUSWOR",2.04166666666693,4.50643962263194e-14
"ASTRUB",2.65660109874087,0.0884323097938274
"OPHIUR",2.93550333287406,0.147235291826696
"ECHCOR",2,5.95971357364442e-15
"ACRBRA",2.77181968884714,0.0169688570777015
"PSAMIL",3.03474843216358,0.0192953844126784
"SAGTRO",2.84166666666667,5.43610983714215e-15
"ZOOPLANKT",2,6.35377760382046e-15
"PHYTOPLANKT",1,5.949174799472e-15
"SOM",1,5.96908871938116e-15
"SPOM",1,4.63275760232764e-15
"SEDBAC",2,4.42968682491402e-15
"WATBAC",2,4.19662662763906e-15
