"","TL_mean_2","std"
"CALLIO",3.10490810904622,0.0544424970325371
"CARANG",3.37769619264571,0.0546811061882435
"CLUPEI",3.0857143642201,0.0740396747267589
"GADIFO",3.40198964534892,0.192182723649215
"GOBIFO",3.14225357827298,0.0973960727171228
"MULLIF",3.18951898932874,0.0743471731497978
"COTTOI",3.68261313573275,0.0733191192625516
"PERCOI",3.43012893775138,0.0831614018171042
"SCORPA",2.38229826375389,0.0655770312640172
"AMMODY",3.27867956443265,0.0935226719060556
"PLEURO",3.06513354185844,0.0401877535975714
"SCOMBR",3.43766477608802,0.0328707105819375
"ZEIFOR",3.00612329961173,0.000815033708479947
"JELLY",2.60000000213568,3.83036002104803e-08
"BALANOT",2.4217820799288,9.91588285392982e-08
"CARPOLMT",2.49749172239303,0.145402984897842
"CARPOLPCT",2.4515165415102,0.0859831796386049
"CARPOLT",2.63220726526696,0.098748554585001
"SUSBIVT",2.19411246564368,0.00104119794605277
"SUSGAST",2,4.50151830944025e-15
"GRAGAST",2,5.54832274889282e-15
"OPHFRAT",2.97942494125543,0.0271792911574377
"ANTHOZT",2.58333333192336,2.77437317046351e-08
"SPONGIT",2.10253688532861,0.0514515115550757
"NUDIBRT",2.98950535509493,0.131197842830203
"SDAMPTR",2.00387311552719,0.00325361816884168
"DETCRATR",2,5.21450138078962e-15
"SUDECRATR",2.32085025133871,0.0708681784557605
"CARCRATR",1.68298613267546,0.0200827961537538
"HOMGAMTR",2.98084897798747,0.104189133412554
"LEPTRETR",2.18769118637722,0.0459200874799717
"CUMACERS",2.00133017450609,0.000918547971960147
"DETCRARS",2,5.48345370270497e-15
"LANCONRS",2,3.02312213995421e-15
"SCAGASRS",2.17584615934933,0.165142838101594
"DETAMPS",2,5.94001333088869e-15
"DPAMPS",2.56867469856818,3.0320975514619e-08
"DETSHRS",2.37931633655538,0.112052358290489
"CARSHRS",2.70586628881119,0.0276347011737496
"THISCUS",2,5.08065787378233e-15
"PAGURIS",2,5.58083267442292e-15
"DETPOLS",2,6.03937153390066e-15
"CARPOLPS",2.74283736157875,0.0920460368298665
"CARPOLPCS",2.74429558581816,0.0506993138498707
"SUDEPOLS",2,6.60241763555302e-15
"SUSWORS",2.15975658704354,0.0730021372184662
"SEPATLS",3.01281869305613,0.0579462712282846
"SUDEBIVS",2.20643078272523,0.00126296963332189
"HSUDEBIVS",2,3.26094012564608e-15
"DEPBIVS",2,5.57774992156967e-15
"BROGASS",2,5.10464807056075e-15
"BORGASS",2.37278927983487,0.116361449210703
"ECHCORS",2,5.24086462784365e-15
"OPHIURS",1.5909740104994,0.0154639904575102
"ISOPODU",2,6.57297518622551e-15
"DETPOLU",2,5.47417095526737e-15
"CARPOLCU",3.24097667244047,0.0456911746698778
"NEPHTYU",1.73287253212133,0.0218667254603188
"ASTRUBU",1.90724598561216,0.00913128303087103
"ZOOPLANKT",2,7.38529921413445e-15
"PHYTOPLANKT",1,7.11057583252111e-15
"SOM",1,6.81022126320247e-15
"SPOM",1,4.60722637802683e-15
"SEDBAC",2,5.07921515019641e-15
"WATBAC",2,4.55143867078628e-15
